USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
1231998187705073664,onisofee,614,"RT @Webcoupers: They say a smile is contagious. We just want to infect you with happiness, are you smiling right now?

#digitalmarketing #W…",2020-02-24 17:43:52,0.42857142857142855,0.2785714285714286,POSITIVE,"b'RT @Webcoupers: They say a smile is contagious. We just want to infect you with happiness, are you smiling right now?\n\n#digitalmarketing #W\xe2\x80\xa6'"
1231912931895328768,motivational4u,20369,RT @rumotivational: We help businesses grow through digital platform – Webcoupers boss https://t.co/I2si4lWHrz,2020-02-24 12:05:05,0.0,0.0,NEGATIVE,b'RT @rumotivational: We help businesses grow through digital platform \xe2\x80\x93 Webcoupers boss https://t.co/I2si4lWHrz'
1231912927478706177,b_motivational,24300,RT @rumotivational: We help businesses grow through digital platform – Webcoupers boss https://t.co/I2si4lWHrz,2020-02-24 12:05:04,0.0,0.0,NEGATIVE,b'RT @rumotivational: We help businesses grow through digital platform \xe2\x80\x93 Webcoupers boss https://t.co/I2si4lWHrz'
1231912924416921600,motivationalltd,17750,RT @rumotivational: We help businesses grow through digital platform – Webcoupers boss https://t.co/I2si4lWHrz,2020-02-24 12:05:03,0.0,0.0,NEGATIVE,b'RT @rumotivational: We help businesses grow through digital platform \xe2\x80\x93 Webcoupers boss https://t.co/I2si4lWHrz'
1231912793021931521,rumotivational,18371,We help businesses grow through digital platform – Webcoupers boss https://t.co/I2si4lWHrz,2020-02-24 12:04:32,0.0,0.0,NEGATIVE,b'We help businesses grow through digital platform \xe2\x80\x93 Webcoupers boss https://t.co/I2si4lWHrz'
1231877068327182337,AscotRivers,15,"Peter Ajegbomogun, an entrepreneur, digital strategist and a product manager is the co-founder of Webcoupers and Ha… https://t.co/Bj8ySAh4vd",2020-02-24 09:42:34,0.0,0.0,NEGATIVE,"b'Peter Ajegbomogun, an entrepreneur, digital strategist and a product manager is the co-founder of Webcoupers and Ha\xe2\x80\xa6 https://t.co/Bj8ySAh4vd'"
1231853835913699328,Webcoupers,1422,"They say a smile is contagious. We just want to infect you with happiness, are you smiling right now?… https://t.co/g7MWiVH2J2",2020-02-24 08:10:15,0.42857142857142855,0.2785714285714286,POSITIVE,"b'They say a smile is contagious. We just want to infect you with happiness, are you smiling right now?\xe2\x80\xa6 https://t.co/g7MWiVH2J2'"
1231798554722738176,JanKutschera,8267,"Peter Ajegbomogun, an entrepreneur, digital strategist and a product manager is the co-founder of Webcoupers and Ha… https://t.co/PfLK0qyXOG",2020-02-24 04:30:35,0.0,0.0,NEGATIVE,"b'Peter Ajegbomogun, an entrepreneur, digital strategist and a product manager is the co-founder of Webcoupers and Ha\xe2\x80\xa6 https://t.co/PfLK0qyXOG'"
1231176649212907520,holyparcel,2745,"RT @Webcoupers: Random facts about Webcoupers

#Thread https://t.co/ZPzSHwzN8j",2020-02-22 11:19:21,-0.5,0.5,NEGATIVE,b'RT @Webcoupers: Random facts about Webcoupers\n\n#Thread https://t.co/ZPzSHwzN8j'
1230950967170011139,anufanegan,229,"RT @Webcoupers: Meet @wolefanegan the Head of the Design Team.

When he’s not watching movies or studying about design, he’s cooking up bre…",2020-02-21 20:22:35,0.0,0.0,NEGATIVE,"b'RT @Webcoupers: Meet @wolefanegan the Head of the Design Team.\n\nWhen he\xe2\x80\x99s not watching movies or studying about design, he\xe2\x80\x99s cooking up bre\xe2\x80\xa6'"
1230915274775449600,wolefanegan,310,"RT @Webcoupers: Meet @wolefanegan the Head of the Design Team.

When he’s not watching movies or studying about design, he’s cooking up bre…",2020-02-21 18:00:45,0.0,0.0,NEGATIVE,"b'RT @Webcoupers: Meet @wolefanegan the Head of the Design Team.\n\nWhen he\xe2\x80\x99s not watching movies or studying about design, he\xe2\x80\x99s cooking up bre\xe2\x80\xa6'"
1230895468198158337,adeyokemi,1467,"RT @AbiolaSeriki_: Next Friday, I’ll be moderating a @SMWLagos panel session hosted by @webcoupers 

The session is focused on Human-Center…",2020-02-21 16:42:03,0.0,0.0,NEGATIVE,"b'RT @AbiolaSeriki_: Next Friday, I\xe2\x80\x99ll be moderating a @SMWLagos panel session hosted by @webcoupers \n\nThe session is focused on Human-Center\xe2\x80\xa6'"
1230877224271781888,Webcoupers,1422,"We have a weird number of coffee, tea and caffeine addicts 

Bonus point: Our cofounders are a spectrum of baby boy… https://t.co/8JpBkkTOKv",2020-02-21 15:29:33,-0.5,1.0,NEGATIVE,"b'We have a weird number of coffee, tea and caffeine addicts \n\nBonus point: Our cofounders are a spectrum of baby boy\xe2\x80\xa6 https://t.co/8JpBkkTOKv'"
